city,year,weekofyear,total_cases
iq,2011,16,4
iq,2011,17,6
iq,2011,18,6
iq,2011,19,3
iq,2011,20,3
iq,2011,21,5
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,3
iq,2011,26,3
iq,2011,27,4
iq,2011,28,3
iq,2011,29,5
iq,2011,30,2
iq,2011,31,5
iq,2011,32,4
iq,2011,33,8
iq,2011,34,4
iq,2011,35,5
iq,2011,36,6
iq,2011,37,8
iq,2011,38,9
iq,2011,39,11
iq,2011,40,8
iq,2011,41,6
iq,2011,42,13
iq,2011,43,14
iq,2011,44,9
iq,2011,45,18
iq,2011,46,16
iq,2011,47,9
iq,2011,48,8
iq,2011,49,12
iq,2011,50,16
iq,2011,51,23
iq,2012,52,9
iq,2012,1,19
iq,2012,2,22
iq,2012,3,19
iq,2012,4,22
iq,2012,5,17
iq,2012,6,22
iq,2012,7,22
iq,2012,8,14
iq,2012,9,14
iq,2012,10,12
iq,2012,11,8
iq,2012,12,6
iq,2012,13,7
iq,2012,14,3
iq,2012,15,6
iq,2012,16,7
iq,2012,17,6
iq,2012,18,5
iq,2012,19,3
iq,2012,20,7
iq,2012,21,3
iq,2012,22,5
iq,2012,23,5
iq,2012,24,3
iq,2012,25,5
iq,2012,26,4
iq,2012,27,3
iq,2012,28,4
iq,2012,29,5
iq,2012,30,5
iq,2012,31,2
iq,2012,32,4
iq,2012,33,5
iq,2012,34,7
iq,2012,35,7
iq,2012,36,6
iq,2012,37,6
iq,2012,38,14
iq,2012,39,6
iq,2012,40,8
iq,2012,41,12
iq,2012,42,13
iq,2012,43,16
iq,2012,44,10
iq,2012,45,8
iq,2012,46,13
iq,2012,47,19
iq,2012,48,11
iq,2012,49,11
iq,2012,50,7
iq,2012,51,6
iq,2013,1,15
iq,2013,2,19
iq,2013,3,18
iq,2013,4,15
iq,2013,5,22
iq,2013,6,15
iq,2013,7,16
iq,2013,8,14
iq,2013,9,19
iq,2013,10,12
iq,2013,11,11
iq,2013,12,9
iq,2013,13,9
iq,2013,14,6
iq,2013,15,6
iq,2013,16,6
iq,2013,17,7
iq,2013,18,5
iq,2013,19,6
iq,2013,20,6
iq,2013,21,3
iq,2013,22,8
iq,2013,23,4
iq,2013,24,2
iq,2013,25,4
iq,2013,26,4
